METAR,RCKU,260330Z,350,07KT,8000,SCT006 BKN016 BKN040,21,17,Q1020,NOSIG,,,,
METAR,RCKU,260300Z,340,08KT,7000,SCT008 BKN016 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260230Z,340,07KT,8000,SCT008 BKN016 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260200Z,350,06KT,6000,SCT010 BKN020 BKN040,20,17,Q1021,NOSIG,,,,
METAR,RCKU,260130Z,360,07KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
METAR,RCKU,260100Z,360,07KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
SPECI,COR,RCKU,260,047Z,35007KT,5000,BR,SCT010 BKN020 BKN040,19,17,Q1021,NOSIG,,
METAR,RCKU,260030Z,350,08KT,4000,BR,SCT010 BKN020 BKN040,18,17,Q1021,<strong>BECMG<,strong>,5000,BR
SPECI,RCKU,260024Z,350,07KT,4000,BR,SCT010 BKN020 BKN040,18,17,Q1021,<strong>BECMG<,strong>,5000,BR
METAR,RCKU,260000Z,360,06KT,3600,BR,SCT010 BKN025 BKN050,18,17,Q1020,<strong>BECMG<,strong>,5000,BR
SPECI,RCKU,252335Z,360,06KT,3600,BR,FEW012 SCT030 BKN060,18,17,Q1021,NOSIG,,,
METAR,RCKU,252330Z,360,06KT,3600,BR,SCT006 BKN014 BKN040 BKN015,18,17,Q1021,<strong>BECMG<,strong>,,
METAR,RCKU,252300Z,010,05KT,3600,BR,SCT006 BKN014 BKN040 BKN015,18,17,Q1021,<strong>BECMG<,strong>,,
METAR,RCKU,252230Z,340,04KT,3200,BR,SCT006 BKN014 BKN030 BKN015,18,17,Q1021,<strong>BECMG<,strong>,,
SPECI,RCKU,252205Z,350,05KT,3200,BR,SCT006 BKN012 BKN025 BKN015,18,17,Q1020,<strong>BECMG<,strong>,,
METAR,RCKU,252200Z,350,06KT,2400,BR,SCT004 BKN008 BKN016 BKN010,18,17,Q1020,<strong>BECMG<,strong>,3000,BR
METAR,RCKU,252130Z,340,06KT,2400,BR,SCT004 BKN008 BKN016,17,17,Q1020,NOSIG,,,
METAR,RCKU,252100Z,350,08KT,2400,BR,SCT004 BKN008 BKN016,18,17,Q1020,NOSIG,,,
SPECI,RCKU,252043Z,340,06KT,2400,BR,SCT004 BKN008 BKN016,18,17,Q1020,,,,
METAR,RCKU,252030Z,340,08KT,3200,BR,SCT006 BKN010 BKN025,18,17,Q1020,,,,
METAR,RCKU,252000Z,360,06KT,3200,BR,SCT006 BKN010 BKN025,18,17,Q1020,,,,
METAR,RCKU,251900Z,360,06KT,3200,BR,SCT006 BKN010 BKN025,18,17,Q1020,,,,
SPECI,RCKU,251805Z,350,08KT,3200,BR,SCT006 BKN010 BKN025,18,17,Q1021,,,,
METAR,RCKU,251800Z,350,08KT,4000,BR,SCT006 BKN012 BKN025,18,17,Q1021,,,,
SPECI,RCKU,251711Z,350,07KT,4000,BR,SCT006 BKN012 BKN025,18,17,Q1021,,,,
METAR,RCKU,251700Z,350,06KT,5000,BR,SCT006 BKN012 BKN025,18,17,Q1021,,,,
METAR,RCKU,251600Z,330,04KT,5000,BR,SCT006 BKN012 BKN030,18,17,Q1021,,,,
SPECI,RCKU,251553Z,330,05KT,5000,BR,SCT006 BKN012 BKN030,18,17,Q1021,,,,
METAR,RCKU,251500Z,350,06KT,7000,FEW008 BKN016 BKN030,18,17,Q1021,,,,,
METAR,RCKU,251400Z,340,07KT,8000,FEW008 BKN016 BKN030,18,17,Q1021,,,,,
METAR,RCKU,251330Z,350,07KT,8000,FEW008 SCT016 BKN040,18,17,Q1021,,,,,
METAR,RCKU,251300Z,350,08KT,8000,FEW008 SCT016 BKN040,18,17,Q1021,,,,,
METAR,RCKU,251230Z,350,08KT,9000,FEW012 SCT025 BKN060,18,17,Q1021,,,,,
METAR,RCKU,251200Z,350,09KT,9999,FEW012 BKN080,18,17,Q1021,,,,,
METAR,RCKU,251130Z,350,10KT,9999,FEW012 BKN080,18,17,Q1021,,,,,
METAR,RCKU,251100Z,350,10KT,9999,FEW012 BKN080,18,17,Q1020,,,,,
METAR,RCKU,251030Z,350,11KT,9999,FEW012 BKN080,19,17,Q1020,,,,,
